product_id,product_name,product_manufacturer,product_qty_remaining,product_price,product_category,product_img_url,product_description,
EG-1A2B3C4D,Gleaming Burst Electric Guitar,Harmony Forge Guitars,17,3876.99,Electric Guitar,https://media.guitarcenter.com/is/image/MMGS7/M07990000002000-02-600x600.jpg,Iconic instrument with versatile sound favored by rock legends for its smooth playability and distinct tone.,
EG-5E6F7G8H,Midnight Sparkle Electric Guitar,NovaSound Guitar Co.,3,249.99,Electric Guitar,https://media.guitarcenter.com/is/image/MMGS7/L69587000003000-02-600x600.jpg,Classic guitar known for warm tones and sustain beloved by blues and rock players for its rich sound and iconic design.,
EG-9I0J1K2L,Sonic Fury Electric Guitar,Crestwood Instruments,0,1799.99,Electric Guitar,https://media.guitarcenter.com/is/image/MMGS7/H96103000002000-02-600x600.jpg,Renowned for balanced tone and exquisite craftsmanship ideal for live performances and recording sessions with its articulate sound and comfortable playability.,
EG-N2O3P4Q5R,Vintage Velvet Electric Guitar,EchoCraft Guitar Works,29,423.99,Electric Guitar,https://media.guitarcenter.com/is/image/MMGS7/L59796000001000-02-600x600.jpg,Legendary instrument with rich bass and clear trebles cherished by musicians for its powerful projection and timeless character.,
EG-6S7T8U9V,Cosmic Horizon Electric Guitar,Solstice Sound Instruments,8,5999.99,Electric Guitar,https://media.guitarcenter.com/is/image/MMGS7/M05675000001000-02-600x600.jpg,High-performance guitar with fast neck and hot pickups perfect for shredding and heavy music with its sleek design and aggressive tone.,
EG-BBCDD1E2,Twilight Shimmer Electric Guitar,Crescent City Guitars,11,932.99,Electric Guitar,https://media.guitarcenter.com/is/image/MMGS7/L46829000002000-02-600x600.jpg,Premium model with stunning looks and versatile tone beloved by players across genres for its craftsmanship and dynamic sound.,
EG-3FG4HI5JJ,Radiant Eclipse Electric Guitar,Phoenix Tone Labs,22,2675.99,Electric Guitar,https://media.guitarcenter.com/is/image/MMGS7/L79166000002000-02-600x600.jpg,Iconic guitar with lush vintage sound adored by artists for its elegance and sonic versatility.,
EG-6K7LM8N9O,Thunderbolt Thrust Electric Guitar,Horizon Heights Luthiers,5,542.99,Electric Guitar,https://media.guitarcenter.com/is/image/MMGS7/L81768000010000-02-600x600.jpg,Semi-hollow guitar with bright jangly tone loved by musicians for its distinctive sound and retro vibe.,
EG-PPQQRRSST,Mystic Mirage Electric Guitar,Eclipse Electric Co.,1,149.99,Electric Guitar,https://media.guitarcenter.com/is/image/MMGS7/M07589000001000-02-600x600.jpg,Sleek instrument designed for speed and precision a favorite of shredders for its effortless playability and aggressive tone.,
EG-0UV1WW2XX,Neon Blaze Electric Guitar,Radiant Resonance Guitars,28,289.99,Electric Guitar,https://media.guitarcenter.com/is/image/MMGS7/M08934000001000-02-600x600.jpg,Affordable option with solid sound and comfortable playability perfect for players with its reliable performance and classic design.,
EG-YY3ZZ4AB,Inferno Ignition Electric Guitar,Zenith String Instruments,4,756.99,Electric Guitar,https://media.guitarcenter.com/is/image/MMGS7/L84983000001000-02-600x600.jpg,Distinctive guitar with chiming tone and vintage appeal favored by musicians for its unique sound and iconic design.,
EG-6C7C8D9E0,Shadow Dusk Electric Guitar,Evergreen Guitar Works,0,492.99,Electric Guitar,https://media.guitarcenter.com/is/image/MMGS7/M07709000002000-02-600x600.jpg,Semi-hollow model with warm resonant tone cherished by players for its smooth playability and classic styling.,
EG-F1F2G3G4H,Sapphire Serenade Electric Guitar,Aria Artisan Guitars,19,229.99,Electric Guitar,https://media.guitarcenter.com/is/image/MMGS7/M04077000003000-02-600x600.jpg,High-performance guitar with powerful tone and sleek design ideal for heavy music with its aggressive sound and comfortable playability.,
EG-5I6J7J8K9L,Ember Ember Electric Guitar,Rivertone Guitar Company,9,1598.99,Electric Guitar,https://media.guitarcenter.com/is/image/MMGS7/M07639000001000-02-600x600.jpg,Affordable version of a classic instrument loved by players for its iconic design and versatile tone.,
EG-0M1M2N3N4O,Lunar Luster Electric Guitar,Celestial Soundcraft,27,399.99,Electric Guitar,https://media.guitarcenter.com/is/image/MMGS7/M04244000001000-02-600x600.jpg,Compact guitar with big sound perfect for travel and intimate performances with its balanced tone and comfortable playability.,
EG-5PP6QQ7RR,Starlight Symphony Electric Guitar,NovaSound Guitar Co.,6,1935.99,Electric Guitar,https://media.guitarcenter.com/is/image/MMGS7/M02121000001000-02-600x600.jpg,Iconic guitar with biting tone and sleek design favored by musicians for its aggressive sound and effortless playability.,
